,Call_Buy-Sell,Cmp_Name,Target_Price,Analyst_or_Cmp,Call_Time,Call_Time_normal,Call_Time_secs,Stop_Loss,From_Site
109,Buy,Sun TV Network,1060,Centrum,"November 15, 2018 03:45 PM",2018-11-15 03:45:00,"November 15, 2018 03:45 PM",#N/A,MoneyControl
110,Buy,CARE Ratings,1550,Centrum,"November 15, 2018 03:42 PM",2018-11-15 03:42:00,"November 15, 2018 03:42 PM",#N/A,MoneyControl
111,Buy,Britannia Industries,6476,Nalanda Securities,"November 15, 2018 03:40 PM",2018-11-15 03:40:00,"November 15, 2018 03:40 PM",#N/A,MoneyControl
112,Buy,Indraprastha Gas,363,Nalanda Securities,"November 15, 2018 03:38 PM",2018-11-15 03:38:00,"November 15, 2018 03:38 PM",#N/A,MoneyControl
113,Buy,Minda Industries,474,Nalanda Securities,"November 15, 2018 03:37 PM",2018-11-15 03:37:00,"November 15, 2018 03:37 PM",#N/A,MoneyControl
114,Buy,Aarti Industries,1651,Nalanda Securities,"November 15, 2018 03:36 PM",2018-11-15 03:36:00,"November 15, 2018 03:36 PM",#N/A,MoneyControl
115,Buy,HeidelbergCement India,194,Nalanda Securities,"November 15, 2018 03:31 PM",2018-11-15 03:31:00,"November 15, 2018 03:31 PM",#N/A,MoneyControl
116,Buy,Prataap Snacks,1462,Nalanda Securities,"November 15, 2018 03:29 PM",2018-11-15 03:29:00,"November 15, 2018 03:29 PM",#N/A,MoneyControl
117,Buy,Titan Company,1115,Prabhudas Lilladher,"November 15, 2018 01:25 PM",2018-11-15 01:25:00,"November 15, 2018 01:25 PM",#N/A,MoneyControl
118,Buy,Tata Steel,840,Prabhudas Lilladher,"November 15, 2018 01:22 PM",2018-11-15 01:22:00,"November 15, 2018 01:22 PM",#N/A,MoneyControl
119,Buy,Aurobindo Pharma,909,Prabhudas Lilladher,"November 15, 2018 01:21 PM",2018-11-15 01:21:00,"November 15, 2018 01:21 PM",#N/A,MoneyControl
120,Buy,Marico,379,Rupak De,"November 15, 2018 11:54 AM",2018-11-15 11:54:00,"November 15, 2018 11:54 AM",#N/A,MoneyControl
121,Buy,United Spirits,700,Rupak De,"November 15, 2018 11:51 AM",2018-11-15 11:51:00,"November 15, 2018 11:51 AM",#N/A,MoneyControl
122,Buy,Hexaware Technologies,363,Rupak De,"November 15, 2018 11:50 AM",2018-11-15 11:50:00,"November 15, 2018 11:50 AM",#N/A,MoneyControl
123,Buy,Thyrocare Technologies,796,Prabhudas Lilladher,"November 15, 2018 12:28 PM",2018-11-15 12:28:00,"November 15, 2018 12:28 PM",#N/A,MoneyControl
124,Buy,Entertainment Network (India),836,Prabhudas Lilladher,"November 14, 2018 05:31 PM",2018-11-14 05:31:00,"November 14, 2018 05:31 PM",#N/A,MoneyControl
125,Buy,Sonata Software,410,Prabhudas Lilladher,"November 14, 2018 05:29 PM",2018-11-14 05:29:00,"November 14, 2018 05:29 PM",#N/A,MoneyControl
126,Buy,Gujarat Gas,750,ICICI Direct,"November 14, 2018 05:25 PM",2018-11-14 05:25:00,"November 14, 2018 05:25 PM",#N/A,MoneyControl
127,Buy,Petronet LNG,275,ICICI Direct,"November 14, 2018 05:25 PM",2018-11-14 05:25:00,"November 14, 2018 05:25 PM",#N/A,MoneyControl
128,Buy,HEG,5750,ICICI Direct,"November 14, 2018 05:25 PM",2018-11-14 05:25:00,"November 14, 2018 05:25 PM",#N/A,MoneyControl
129,Buy,Graphite India,1400,ICICI Direct,"November 14, 2018 05:24 PM",2018-11-14 05:24:00,"November 14, 2018 05:24 PM",#N/A,MoneyControl
130,Buy,Future Consumer,63,Motilal Oswal,"November 14, 2018 05:16 PM",2018-11-14 05:16:00,"November 14, 2018 05:16 PM",#N/A,MoneyControl
131,Buy,SRF,2408,Motilal Oswal,"November 14, 2018 01:41 PM",2018-11-14 01:41:00,"November 14, 2018 01:41 PM",#N/A,MoneyControl
132,Buy,Tata Communications,670,Motilal Oswal,"November 14, 2018 01:29 PM",2018-11-14 01:29:00,"November 14, 2018 01:29 PM",#N/A,MoneyControl
133,Buy,Sun TV,835,Motilal Oswal,"November 14, 2018 01:28 PM",2018-11-14 01:28:00,"November 14, 2018 01:28 PM",#N/A,MoneyControl
134,Buy,Gujarat Gas,902,Motilal Oswal,"November 14, 2018 01:26 PM",2018-11-14 01:26:00,"November 14, 2018 01:26 PM",#N/A,MoneyControl
135,Buy,Cadila Health,430,Motilal Oswal,"November 14, 2018 01:25 PM",2018-11-14 01:25:00,"November 14, 2018 01:25 PM",#N/A,MoneyControl
136,Buy,Ashoka Buildcon,175,Motilal Oswal,"November 14, 2018 01:20 PM",2018-11-14 01:20:00,"November 14, 2018 01:20 PM",#N/A,MoneyControl
137,Buy,GSK Consumer,8000,ICICI Direct,"November 13, 2018 05:19 PM",2018-11-13 05:19:00,"November 13, 2018 05:19 PM",#N/A,MoneyControl
138,Buy,State Bank of India,370,Motilal Oswal,"November 14, 2018 01:16 PM",2018-11-14 01:16:00,"November 14, 2018 01:16 PM",#N/A,MoneyControl
139,Buy,City Union Bank,200,ICICI Direct,"November 13, 2018 05:19 PM",2018-11-13 05:19:00,"November 13, 2018 05:19 PM",#N/A,MoneyControl
140,Buy,KEC International,370,ICICI Direct,"November 13, 2018 05:17 PM",2018-11-13 05:17:00,"November 13, 2018 05:17 PM",#N/A,MoneyControl
141,Buy,Bharat Forge,700,ICICI Direct,"November 13, 2018 05:11 PM",2018-11-13 05:11:00,"November 13, 2018 05:11 PM",#N/A,MoneyControl
142,Buy,Torrent Pharmaceuticals,1850,ICICI Direct,"November 13, 2018 05:07 PM",2018-11-13 05:07:00,"November 13, 2018 05:07 PM",#N/A,MoneyControl
143,Buy,Transport Corporation,360,ICICI Direct,"November 13, 2018 05:03 PM",2018-11-13 05:03:00,"November 13, 2018 05:03 PM",#N/A,MoneyControl
144,Buy,Axis Bank,725,ICICI Direct,"November 13, 2018 04:58 PM",2018-11-13 04:58:00,"November 13, 2018 04:58 PM",#N/A,MoneyControl
